dataset,subset,view,split_policy,model,label_permuted,permutation_trial,seed,train_size,validation_size,train_class_counts,validation_class_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,predicted_class_counts,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,roc_auc,pr_auc_y1,pr_auc_y0
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,0,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8830645161290323,0.49772727272727274,0.4689507494646681,"[[0, 28], [1, 219]]","{""0"": 1, ""1"": 247}",0.0,0.0,0.0,28,0.8866396761133604,0.9954545454545455,0.9379014989293362,220,0.47678571428571426,0.8812915874461036,0.10675614089568183
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,0,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8709677419354839,0.4909090909090909,0.46551724137931033,"[[0, 28], [4, 216]]","{""0"": 4, ""1"": 244}",0.0,0.0,0.0,28,0.8852459016393442,0.9818181818181818,0.9310344827586207,220,0.4319805194805194,0.8756258059298478,0.09857347786870854
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,0,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.43879870129870135,0.8619902628940567,0.10901151583137583
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,1,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,1,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,1,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.6035714285714285,0.9242338994823378,0.18491916832157962
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,1,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.49193548387096775,0.5422077922077921,0.41875,"[[17, 11], [115, 105]]","{""0"": 132, ""1"": 116}",0.12878787878787878,0.6071428571428571,0.2125,28,0.9051724137931034,0.4772727272727273,0.625,220,0.6063311688311689,0.9253016969683228,0.18663169291539056
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,1,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.875,0.5087662337662338,0.4968257084887755,"[[1, 27], [4, 216]]","{""0"": 5, ""1"": 243}",0.2,0.03571428571428571,0.06060606060606061,28,0.8888888888888888,0.9818181818181818,0.9330453563714903,220,0.5251623376623377,0.9011292080035471,0.15859352197588222
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,1,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.842741935483871,0.49058441558441557,0.4815331010452962,"[[1, 27], [12, 208]]","{""0"": 13, ""1"": 235}",0.07692307692307693,0.03571428571428571,0.04878048780487805,28,0.8851063829787233,0.9454545454545454,0.9142857142857143,220,0.5121753246753247,0.8772054046830041,0.12047108416191012
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,1,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8709677419354839,0.4909090909090909,0.46551724137931033,"[[0, 28], [4, 216]]","{""0"": 4, ""1"": 244}",0.0,0.0,0.0,28,0.8852459016393442,0.9818181818181818,0.9310344827586207,220,0.6163961038961039,0.9213620315200366,0.14905031556201287
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,2,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,2,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,2,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.47824675324675325,0.8759918597712721,0.11980058583212483
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,2,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5161290322580645,0.47792207792207786,0.41287878787878785,"[[12, 16], [104, 116]]","{""0"": 116, ""1"": 132}",0.10344827586206896,0.42857142857142855,0.16666666666666666,28,0.8787878787878788,0.5272727272727272,0.6590909090909091,220,0.48766233766233774,0.8784719767539284,0.13539681103983237
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,2,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8790322580645161,0.4954545454545455,0.4678111587982833,"[[0, 28], [2, 218]]","{""0"": 2, ""1"": 246}",0.0,0.0,0.0,28,0.8861788617886179,0.990909090909091,0.9356223175965666,220,0.5185064935064935,0.8940289969038531,0.12823999437040615
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,2,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8790322580645161,0.5266233766233767,0.5263559969442322,"[[2, 26], [4, 216]]","{""0"": 6, ""1"": 242}",0.3333333333333333,0.07142857142857142,0.11764705882352941,28,0.8925619834710744,0.9818181818181818,0.935064935064935,220,0.5089285714285714,0.8940234840256298,0.17036945162430617
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,2,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8790322580645161,0.4954545454545455,0.4678111587982833,"[[0, 28], [2, 218]]","{""0"": 2, ""1"": 246}",0.0,0.0,0.0,28,0.8861788617886179,0.990909090909091,0.9356223175965666,220,0.4824675324675325,0.8706161554420575,0.1415559898350608
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,3,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,3,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,3,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.48733766233766235,0.8803252070053247,0.17233873668350985
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,3,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5564516129032258,0.5006493506493507,0.43761853714851157,"[[12, 16], [94, 126]]","{""0"": 106, ""1"": 142}",0.11320754716981132,0.42857142857142855,0.1791044776119403,28,0.8873239436619719,0.5727272727272728,0.6961325966850829,220,0.4959415584415584,0.8817668896132965,0.18393873776758882
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,3,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8709677419354839,0.4909090909090909,0.46551724137931033,"[[0, 28], [4, 216]]","{""0"": 4, ""1"": 244}",0.0,0.0,0.0,28,0.8852459016393442,0.9818181818181818,0.9310344827586207,220,0.4548701298701298,0.8824980651224457,0.10420441115960474
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,3,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8548387096774194,0.512987012987013,0.5105263157894737,"[[2, 26], [10, 210]]","{""0"": 12, ""1"": 236}",0.16666666666666666,0.07142857142857142,0.1,28,0.8898305084745762,0.9545454545454546,0.9210526315789473,220,0.5253246753246754,0.8858413021067408,0.1392469801992215
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,3,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8709677419354839,0.5064935064935066,0.49477973007384773,"[[1, 27], [5, 215]]","{""0"": 6, ""1"": 242}",0.16666666666666666,0.03571428571428571,0.058823529411764705,28,0.8884297520661157,0.9772727272727273,0.9307359307359307,220,0.557142857142857,0.9032367693832926,0.1512927008730211
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,4,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,4,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,4,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.3918831168831169,0.8529987037122009,0.09435797966050266
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,4,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.4717741935483871,0.46850649350649354,0.38958720853766227,"[[13, 15], [116, 104]]","{""0"": 129, ""1"": 119}",0.10077519379844961,0.4642857142857143,0.16560509554140126,28,0.8739495798319328,0.4727272727272727,0.6135693215339233,220,0.4055194805194805,0.8526101699414406,0.09646689540513446
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,4,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8830645161290323,0.49772727272727274,0.4689507494646681,"[[0, 28], [1, 219]]","{""0"": 1, ""1"": 247}",0.0,0.0,0.0,28,0.8866396761133604,0.9954545454545455,0.9379014989293362,220,0.5423701298701299,0.8999369101500607,0.12925211073728163
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,4,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8790322580645161,0.4954545454545455,0.4678111587982833,"[[0, 28], [2, 218]]","{""0"": 2, ""1"": 246}",0.0,0.0,0.0,28,0.8861788617886179,0.990909090909091,0.9356223175965666,220,0.5211038961038961,0.8984807822545555,0.11957536437022995
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,4,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.4113636363636363,0.8649375293070994,0.09501789720551994
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,5,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,5,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,5,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.45600649350649347,0.8841340726587394,0.13462368395741847
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,5,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5161290322580645,0.509090909090909,0.42218080149114634,"[[14, 14], [106, 114]]","{""0"": 120, ""1"": 128}",0.11666666666666667,0.5,0.1891891891891892,28,0.890625,0.5181818181818182,0.6551724137931034,220,0.4608766233766234,0.8818851998585795,0.1363440840169182
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,5,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8830645161290323,0.49772727272727274,0.4689507494646681,"[[0, 28], [1, 219]]","{""0"": 1, ""1"": 247}",0.0,0.0,0.0,28,0.8866396761133604,0.9954545454545455,0.9379014989293362,220,0.5623376623376622,0.9054358973911589,0.16645183571161004
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,5,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8629032258064516,0.5331168831168831,0.537719298245614,"[[3, 25], [9, 211]]","{""0"": 12, ""1"": 236}",0.25,0.10714285714285714,0.15,28,0.8940677966101694,0.9590909090909091,0.9254385964912281,220,0.49139610389610394,0.8785293177342699,0.14778018727061842
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,5,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.4980519480519481,0.8895014084430328,0.11309145506243594
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,6,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,6,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,6,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.4702922077922078,0.8709876917720384,0.12312356673701
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,6,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5040322580645161,0.5022727272727272,0.414454362222862,"[[14, 14], [109, 111]]","{""0"": 123, ""1"": 125}",0.11382113821138211,0.5,0.18543046357615894,28,0.888,0.5045454545454545,0.6434782608695652,220,0.4746753246753247,0.8705787319591252,0.12338170796583364
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,6,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8830645161290323,0.49772727272727274,0.4689507494646681,"[[0, 28], [1, 219]]","{""0"": 1, ""1"": 247}",0.0,0.0,0.0,28,0.8866396761133604,0.9954545454545455,0.9379014989293362,220,0.4767857142857143,0.8709745767669954,0.13396391094416987
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,6,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8709677419354839,0.5064935064935066,0.49477973007384773,"[[1, 27], [5, 215]]","{""0"": 6, ""1"": 242}",0.16666666666666666,0.03571428571428571,0.058823529411764705,28,0.8884297520661157,0.9772727272727273,0.9307359307359307,220,0.474512987012987,0.8694369854660298,0.16092655372577627
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,6,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5081168831168832,0.8732289005088414,0.1425956525798192
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,7,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,7,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,7,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5449675324675325,0.9146128052861562,0.12601875988534295
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,7,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5645161290322581,0.551948051948052,0.4578576633470974,"[[15, 13], [95, 125]]","{""0"": 110, ""1"": 138}",0.13636363636363635,0.5357142857142857,0.21739130434782608,28,0.9057971014492754,0.5681818181818182,0.6983240223463687,220,0.5420454545454546,0.9128598890680453,0.12416670829665498
bfcl,all_categories,X-only,minxing_row_random,random_forest,True,7,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.4816558441558442,0.889318850332015,0.11115896436224035
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,True,7,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.875,0.5243506493506493,0.5235202974899287,"[[2, 26], [5, 215]]","{""0"": 7, ""1"": 241}",0.2857142857142857,0.07142857142857142,0.11428571428571428,28,0.8921161825726142,0.9772727272727273,0.9327548806941431,220,0.4803571428571429,0.8994499285775627,0.13051612029474735
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,True,7,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8790322580645161,0.4954545454545455,0.4678111587982833,"[[0, 28], [2, 218]]","{""0"": 2, ""1"": 246}",0.0,0.0,0.0,28,0.8861788617886179,0.990909090909091,0.9356223175965666,220,0.488474025974026,0.8871557273754149,0.11404835436933913
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,8,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,8,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,8,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5121753246753247,0.9012304602070523,0.1119031829442807
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,8,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5766129032258065,0.512012987012987,0.44997148469678727,"[[12, 16], [89, 131]]","{""0"": 101, ""1"": 147}",0.1188118811881188,0.42857142857142855,0.18604651162790697,28,0.891156462585034,0.5954545454545455,0.7138964577656676,220,0.4915584415584416,0.8928776453921647,0.10758151155254247
