name,rank,count
SIMPSON,158,163181
PORTER,159,163054
HUNTER,160,162440
GORDON,161,161833
MENDEZ,162,161717
SILVA,163,161633
SHAW,164,160400
SNYDER,165,160262
MASON,166,160213
DIXON,167,159480
MUNOZ,168,158483
HUNT,169,158421
HICKS,170,158320
HOLMES,171,156780
PALMER,172,156601
WAGNER,173,155795
BLACK,174,154738
ROBERTSON,175,153666
BOYD,176,153469
ROSE,177,153397
STONE,178,153329
SALAZAR,179,152703
FOX,180,152334
WARREN,181,152147
MILLS,182,151942
MEYER,183,150895
RICE,184,149500
SCHMIDT,185,147034
GARZA,186,147005
DANIELS,187,146570
FERGUSON,188,146426
NICHOLS,189,145584
STEPHENS,190,144646
SOTO,191,144451
WEAVER,192,143837
RYAN,193,143452
GARDNER,194,142894
PAYNE,195,142601
GRANT,196,142277
DUNN,197,141427
KELLEY,198,140693
SPENCER,199,139951
HAWKINS,200,139751
ARNOLD,201,138893
PIERCE,202,138629
VAZQUEZ,203,138322
HANSEN,204,137977
PETERS,205,137513
SANTOS,206,137232
HART,207,137184
BRADLEY,208,136720
KNIGHT,209,136713
ELLIOTT,210,135765
CUNNINGHAM,211,135718
DUNCAN,212,135187
ARMSTRONG,213,135044
HUDSON,214,134963
CARROLL,215,134317
LANE,216,134227
RILEY,217,133872
ANDREWS,218,133799
ALVARADO,219,133501
RAY,220,133171
DELGADO,221,132985
BERRY,222,132812
PERKINS,223,131440
HOFFMAN,224,131401
JOHNSTON,225,131373
MATTHEWS,226,131303
PENA,227,130776
RICHARDS,228,130529
CONTRERAS,229,130164
WILLIS,230,130152
CARPENTER,231,129898
LAWRENCE,232,129699
SANDOVAL,233,128948
GUERRERO,234,128677
GEORGE,235,128625
CHAPMAN,236,127939
RIOS,237,127794
ESTRADA,238,127470
ORTEGA,239,127256
WATKINS,240,127083
GREENE,241,126101
NUNEZ,242,125350
WHEELER,243,125058
VALDEZ,244,124995
HARPER,245,124461
BURKE,246,122877
LARSON,247,122587
SANTIAGO,248,122212
MALDONADO,249,121526
MORRISON,250,121130
FRANKLIN,251,120621
CARLSON,252,120552
AUSTIN,253,119706
DOMINGUEZ,254,119304
CARR,255,119076
LAWSON,256,119053
JACOBS,257,118614
OBRIEN,258,118557
LYNCH,259,117708
SINGH,260,116749
VEGA,261,116673
BISHOP,262,116618
MONTGOMERY,263,115953
OLIVER,264,115900
JENSEN,265,115679
HARVEY,266,115662
WILLIAMSON,267,114959
GILBERT,268,114940
DEAN,269,114030
SIMS,270,113374
ESPINOZA,271,112154
HOWELL,272,112041
LI,273,111786
WONG,274,111371
REID,275,111360
HANSON,276,111144
LE,277,110967
MCCOY,278,110744
GARRETT,279,110697
BURTON,280,110529
FULLER,281,110116
WANG,282,109883
WEBER,283,109433
WELCH,284,108987
ROJAS,285,108421
LUCAS,286,107690
MARQUEZ,287,107533
FIELDS,288,107522
PARK,289,106696
YANG,290,106033
LITTLE,291,105936
BANKS,292,105833
PADILLA,293,105365
DAY,294,105091
WALSH,295,105079
BOWMAN,296,105007
SCHULTZ,297,104888
LUNA,298,104518
FOWLER,299,104515
MEJIA,300,104057
DAVIDSON,301,103930
ACOSTA,302,103418
BREWER,303,103318
MAY,304,103306
HOLLAND,305,102538
JUAREZ,306,101949
NEWMAN,307,101931
PEARSON,308,101836
CURTIS,309,101801
CORTEZ,310,101694
DOUGLAS,311,101458
SCHNEIDER,312,101290
JOSEPH,313,100959
BARRETT,314,100104
NAVARRO,315,99807
FIGUEROA,316,98468
KELLER,317,98268
AVILA,318,97314
WADE,319,97040
MOLINA,320,96979
STANLEY,321,96867
HOPKINS,322,96810
CAMPOS,323,96111
BARNETT,324,95681
BATES,325,95622
CHAMBERS,326,94988
CALDWELL,327,93944
BECK,328,93786
LAMBERT,329,93678
MIRANDA,330,93628
BYRD,331,92904
CRAIG,332,92507
AYALA,333,92463
LOWE,334,92260
FRAZIER,335,92152
POWERS,336,91970
NEAL,337,91694
LEONARD,338,91475
GREGORY,339,91384
CARRILLO,340,91129
SUTTON,341,90964
FLEMING,342,90677
RHODES,343,90670
SHELTON,344,90517
SCHWARTZ,345,90071
NORRIS,346,89796
JENNINGS,347,89700
WATTS,348,89649
DURAN,349,89401
WALTERS,350,89376
COHEN,351,89091
MCDANIEL,352,88728
MORAN,353,88615
PARKS,354,88586
STEELE,355,88230
VAUGHN,356,88060
BECKER,357,87859
HOLT,358,87531
DELEON,359,87414
BARKER,360,87162
TERRY,361,87000
HALE,362,86618
LEON,363,86363
HAIL,364,86240
BENSON,365,86081
HAYNES,366,85974
HORTON,367,85195
MILES,368,84942
LYONS,369,84516
PHAM,370,84320
GRAVES,371,84179
BUSH,372,84018
THORNTON,373,83967
WOLFE,374,83928
WARNER,375,83781
CABRERA,376,83621
MCKINNEY,377,83616
MANN,378,83510
ZIMMERMAN,379,83265
DAWSON,380,83182
LARA,381,83067
FLETCHER,382,83063
PAGE,383,82992
MCCARTHY,384,82950
LOVE,385,82873
ROBLES,386,82458
CERVANTES,387,82161
SOLIS,388,82146
ERICKSON,389,82085
REEVES,390,81978
CHANG,391,81939
KLEIN,392,81471
SALINAS,393,81156
FUENTES,394,81006
BALDWIN,395,80742
DANIEL,396,80526
SIMON,397,80460
VELASQUEZ,398,80364
HARDY,399,80252
HIGGINS,400,79803
AGUIRRE,401,79517
LIN,402,79508
CUMMINGS,403,79316
CHANDLER,404,79186
SHARP,405,78990
BARBER,406,78848
BOWEN,407,78822
OCHOA,408,78677
DENNIS,409,78482
ROBBINS,410,78381
LIU,411,78370
RAMSEY,412,78350
FRANCIS,413,78327
GRIFFITH,414,78260
PAUL,415,78256
BLAIR,416,78026
OCONNOR,417,77923
CARDENAS,418,77652
PACHECO,419,77642
CROSS,420,77557
CALDERON,421,77085
QUINN,422,76986
MOSS,423,76908
SWANSON,424,76897
CHAN,425,76664
RIVAS,426,76205
KHAN,427,76171
RODGERS,428,76095
SERRANO,429,75996
FITZGERALD,430,75356
ROSALES,431,75185
STEVENSON,432,75169
CHRISTENSEN,433,75143
MANNING,434,74949
GILL,435,74948
CURRY,436,74919
MCLAUGHLIN,437,74816
HARMON,438,74737
MCGEE,439,74542
GROSS,440,74503
DOYLE,441,74458
GARNER,442,74324
NEWTON,443,74092
BURGESS,444,73931
REESE,445,73919
WALTON,446,73854
BLAKE,447,73797
TRUJILLO,448,73664
ADKINS,449,73599
BRADY,450,73145
GOODMAN,451,73136
ROMAN,452,72918
WEBSTER,453,72625
GOODWIN,454,72451
FISCHER,455,72357
HUANG,456,72328
POTTER,457,72175
DELACRUZ,458,72109
MONTOYA,459,71844
TODD,460,71759
WU,461,71721
HINES,462,71717
MULLINS,463,71646
CASTANEDA,464,71368
MALONE,465,71286
CANNON,466,71085
TATE,467,71058
MACK,468,71056
SHERMAN,469,70502
HUBBARD,470,70362
HODGES,471,70223
ZHANG,472,70125
GUERRA,473,70071
WOLF,474,70031
VALENCIA,475,70000
FRANCO,476,69943
SAUNDERS,476,69943
ROWE,478,69879
GALLAGHER,479,69834
FARMER,480,69617
HAMMOND,481,69515
HAMPTON,482,69472
TOWNSEND,483,69360
INGRAM,484,69345
WISE,485,68649
GALLEGOS,486,68373
CLARKE,487,68281
BARTON,488,68233
SCHROEDER,489,67977
MAXWELL,490,67961
WATERS,491,67929
LOGAN,492,67909
CAMACHO,493,67893
STRICKLAND,494,67769
NORMAN,495,67704
PERSON,496,67411
COLON,497,67338
PARSONS,498,67310
FRANK,499,67304
HARRINGTON,500,66959
GLOVER,501,66858
OSBORNE,502,66827
BUCHANAN,503,66648
CASEY,504,66556
FLOYD,505,66454
PATTON,506,66293
IBARRA,507,66063
BALL,508,66059
TYLER,509,66056
SUAREZ,510,66013
BOWERS,511,66003
OROZCO,512,65904
SALAS,513,65468
COBB,514,65125
GIBBS,515,65064
ANDRADE,516,65037
BAUER,517,65004
CONNER,518,64572
MOODY,519,64429
ESCOBAR,520,64403
MCGUIRE,521,64327
LLOYD,522,64202
MUELLER,523,64191
HARTMAN,524,64106
FRENCH,525,63991
KRAMER,526,63936
MCBRIDE,527,63899
POPE,528,63881
LINDSEY,529,63760
VELAZQUEZ,530,63736
NORTON,531,63722
MCCORMICK,532,63649
SPARKS,533,63440
FLYNN,534,63400
YATES,535,63254
HOGAN,536,63085
MARSH,537,62304
MACIAS,538,62227
VILLANUEVA,539,61883
ZAMORA,540,61729
PRATT,541,61671
STOKES,542,61639
OWEN,543,61630
BALLARD,544,61625
LANG,545,61529
BROCK,546,61369
VILLARREAL,547,61355
CHARLES,548,61211
DRAKE,549,61162
BARRERA,550,60998
CAIN,551,60948
PATRICK,552,60845
PINEDA,553,60820
BURNETT,554,60791
MERCADO,555,60761
SANTANA,556,60667
SHEPHERD,557,60479
BAUTISTA,558,60264
ALI,559,60002
SHAFFER,560,59943
LAMB,561,59913
TREVINO,562,59882
MCKENZIE,563,59595
HESS,564,59486
BEIL,565,59463
OLSEN,566,59356
COCHRAN,567,59350
MORTON,568,59213
NASH,569,58714
WILKINS,570,58634
PETERSEN,571,58480
BRIGGS,572,58408
SHAH,573,58287
ROTH,574,58278
NICHOLSON,575,58151
HOLLOWAY,576,58040
LOZANO,577,57779
FLOWERS,578,57549
RANGEL,578,57549
HOOVER,580,57497
ARIAS,581,57477
SHORT,581,57477
MORA,583,57464
VALENZUELA,584,57383
BRYAN,585,57143
MEYERS,586,57127
WEISS,587,57112
UNDERWOOD,588,57064
BASS,589,57044
GREER,590,57043
SUMMERS,591,56953
HOUSTON,592,56900
CARSON,593,56872
MORROW,594,56840
CLAYTON,595,56638
WHITAKER,596,56616
DECKER,597,56576
YODER,598,56410
COLLIER,599,56380
ZUNIGA,600,56347
CAREY,601,56322
WILCOX,602,56286
MELENDEZ,603,56230
POOLE,604,56226
ROBERSON,605,56180
LARSEN,606,55960
CONLEY,607,55917
DAVENPORT,608,55895
COPELAND,609,55850
MASSEY,610,55595
LAM,611,55554
HUFF,612,55484
ROCHA,613,55251
CAMERON,614,55240
JEFFERSON,615,55179
HOOD,616,55174
MONROE,617,55136
ANTHONY,618,55114
PITTMAN,619,55021
HUYNH,620,54996
RANDALL,621,54764
SINGLETON,622,54621
KIRK,623,54394
COMBS,624,54257
MATHIS,625,54217
CHRISTIAN,626,54198
SKINNER,627,54046
BRADFORD,628,54015
RICHARD,629,53893
GALVAN,630,53822
WALL,631,53794
BOONE,632,53792
KIRBY,633,53767
WILKINSON,634,53739
BRIDGES,635,53682
BRUCE,636,53419
ATKINSON,637,53376
VELEZ,638,53265
MEZA,639,53230
ROY,640,53159
VINCENT,641,53095
YORK,642,53059
HODGE,643,52920
VILLA,644,52817
ABBOTT,645,52739
ALLISON,646,52701
TAPIA,647,52651
GATES,648,52569
CHASE,649,52481
SOSA,650,52457
SWEENEY,651,52410
FARRELL,652,52321
WYATT,653,52211
DALTON,654,52184
HORN,655,52138
BARRON,656,52070
PHELPS,657,52044
YU,658,52035
DICKERSON,659,51889
HEATH,660,51877
FOLEY,661,51865
ATKINS,662,51671
MATHEWS,663,51592
BONILLA,664,51475
ACEVEDO,665,51351
BENITEZ,666,51288
ZAVALA,667,51153
HENSLEY,668,51081
GLENN,669,51043
CISNEROS,670,50920
HARRELL,671,50837
SHIELDS,672,50832
RUBIO,673,50788
CHOI,674,50786
HUFFMAN,674,50786
BOYER,676,50742
GARRISON,677,50686
ARROYO,678,50614
BOND,679,50610
KANE,680,50584
HANCOCK,681,50558
CALLAHAN,682,50524
DILLON,683,50465
CLINE,684,50258
WIGGINS,685,50247
GRIMES,686,50245
ARELLANO,687,50104
MELTON,688,50069
ONEILL,689,50028
SAVAGE,690,49914
HO,691,49817
BELTRAN,692,49776
PITTS,693,49740
PARRISH,694,49733
PONCE,695,49549
RICH,696,49481
BOOTH,697,49402
KOCH,698,49395
GOLDEN,699,49360
WARE,700,49316
BRENNAN,701,49238
MCDOWELL,702,49217
MARKS,703,49177
CANTU,704,49126
HUMPHREY,705,49056
BAXTER,706,49033
SAWYER,707,49028
CLAY,708,48844
TANNER,709,48813
HUTCHINSON,710,48781
KAUR,711,48753
BERG,712,48746
WILEY,713,48720
GILMORE,714,48719
RUSSO,715,48696
VILLEGAS,716,48599
HOBBS,717,48522
KEITH,718,48487
WILKERSON,719,48444
AHMED,720,48319
BEARD,721,48207
MCCLAIN,722,48165
MONTES,723,48142
MATA,724,48120
ROSARIO,725,48051
VANG,726,48036
WALTER,727,48024
HENSON,728,48013
ONEAL,729,47979
MOSLEY,730,47963
MCCLURE,731,47742
BEASLEY,732,47693
STEPHENSON,733,47641
SNOW,734,47528
HUERTA,735,47455
PRESTON,736,47367
VANCE,737,47324
BARRY,738,47274
JOHNS,739,47246
EATON,740,47184
BLACKWELL,741,47175
DYER,742,47170
PRINCE,743,47168
MACDONALD,744,46717
SOLOMON,745,46534
GUEVARA,746,46454
STAFFORD,747,46394
ENGLISH,748,46393
HURST,749,46244
WOODARD,750,46240
CORTES,751,46229
SHANNON,752,46147
KEMP,753,46146
NOLAN,754,46054
MCCULLOUGH,755,45852
MERRITT,756,45594
MURILLO,757,45558
MOON,758,45528
SALGADO,759,45469
STRONG,760,45432
KLINE,761,45390
CORDOVA,762,45305
BARAJAS,763,45153
ROACH,764,45019
ROSAS,765,44938
WINTERS,766,44914
JACOBSON,767,44808
LESTER,768,44784
KNOX,769,44742
BULLOCK,770,44740
KERR,771,44711
LEACH,772,44581
MEADOWS,773,44500
DAVILA,774,44388
ORR,774,44388
WHITEHEAD,776,44373
PRUITT,777,44365
KENT,778,44325
CONWAY,779,44320
MCKEE,780,44137
BARR,781,44130
DAVID,782,44040
DEJESUS,783,44038
MARIN,784,43904
BERGER,785,43851
MCINTYRE,786,43842
BLANKENSHIP,787,43830
GAINES,788,43821
PALACIOS,789,43798
CUEVAS,790,43701
BARTLETT,791,43648
DURHAM,792,43635
DORSEY,793,43631
MCCALL,794,43483
ODONNELL,795,43460
STEIN,796,43389
BROWNING,797,43329
STOUT,798,43305
LOWERY,799,43278
SLOAN,800,43261
MCLEAN,801,43260
HENDRICKS,802,43197
CALHOUN,803,43180
SEXTON,804,43133
CHUNG,805,43110
GENTRY,806,43027
HULL,807,43018
DUARTE,808,42983
ELLISON,809,42827
NIELSEN,810,42773
GILLESPIE,811,42693
BUCK,812,42639
MIDDLETON,813,42578
SELLERS,814,42577
LEBLANC,815,42575
ESPARZA,816,42559
HARDIN,817,42469
BRADSHAW,818,42465
MCINTOSH,819,42379
HOWE,820,42265
LIVINGSTON,821,42103
FROST,822,42015
GLASS,823,41802
MORSE,824,41774
KNAPP,825,41771
HERMAN,826,41750
STARK,827,41735
BRAVO,828,41700
NOBLE,829,41667
SPEARS,830,41665
WEEKS,831,41565
CORONA,832,41553
FREDERICK,833,41394
BUCKLEY,834,41348
MCFARLAND,835,41300
HEBERT,836,41275
ENRIQUEZ,837,41271
HICKMAN,838,41163
QUINTERO,839,41158
RANDOLPH,840,41129
SCHAEFER,841,41063
WALLS,842,41025
TREJO,843,41021
HOUSE,844,41000
REILLY,845,40884
PENNINGTON,846,40854
MICHAEL,847,40736
CONRAD,848,40707
GILES,849,40598
BENJAMIN,850,40590
CROSBY,851,40563
FITZPATRICK,852,40449
DONOVAN,853,40410
MAYS,854,40408
MAHONEY,855,40397
VALENTINE,856,40395
RAYMOND,857,40275
MEDRANO,858,40261
HAHN,859,40250
MCMILLAN,860,40237
SMALL,861,40212
BENTLEY,862,40193
FELIX,863,40165
PECK,864,40055
LUCERO,865,39986
BOYLE,866,39921
HANNA,867,39890
PACE,868,39879
RUSH,869,39802
HURLEY,870,39796
HARDING,871,39787
MCCONNELL,872,39754
BERNAL,873,39693
NAVA,874,39670
AYERS,875,39623
EVERETT,876,39593
VENTURA,877,39580
AVERY,878,39564
PUGH,879,39559
MAYER,880,39555
BENDER,881,39551
SHEPARD,882,39430
MCMAHON,883,39411
LANDRY,884,39391
CASE,885,39319
SAMPSON,886,39277
MOSES,887,39216
MAGANA,888,39105
BLACKBURN,889,39097
DUNLAP,890,39063
GOULD,891,38924
DUFFY,892,38835
VAUGHAN,893,38830
HERRING,894,38733
MCKAY,895,38681
ESPINOSA,896,38667
RIVERS,897,38662
FARLEY,898,38528
BERNARD,899,38512
ASHLEY,900,38499
FRIEDMAN,901,38374
POTTS,902,38277
TRUONG,903,38267
COSTA,904,38265
CORREA,905,38232
BLEVINS,906,38229
NIXON,907,38147
CLEMENTS,908,38044
FRY,909,38029
DELAROSA,910,37932
BEST,911,37923
BENTON,912,37912
LUGO,913,37903
PORTILLO,914,37890
DOUGHERTY,915,37884
CRANE,916,37870
HALEY,917,37858
PHAN,918,37836
VILLALOBOS,919,37754
BLANCHARD,920,37695
HORNE,921,37689
FINLEY,922,37672
QUINTANA,923,37657
LYNN,924,37644
ESQUIVEL,925,37578
BEAN,926,37571
DODSON,927,37566
MULLEN,928,37502
XIONG,929,37499
HAYDEN,930,37451
CANO,931,37368
LEVY,932,37228
HUBER,933,37170
RICHMOND,934,37053
MOYER,935,37050
LIM,936,37021
FRYE,937,36973
SHEPPARD,938,36960
MCCARTY,939,36944
AVALOS,940,36922
BOOKER,941,36840
WALLER,942,36805
PARRA,943,36765
WOODWARD,944,36764
JARAMILLO,945,36755
KRUEGER,946,36743
RASMUSSEN,947,36636
BRANDT,948,36613
PERALTA,949,36585
DONALDSON,950,36558
STUART,951,36540
FAULKNER,952,36466
MAYNARD,953,36460
GALINDO,954,36429
COFFEY,955,36423
ESTES,956,36318
SANFORD,957,36312
BURCH,958,36269
MADDOX,959,36250
VO,960,36236
OCONNELL,961,36194
VU,962,36179
ANDERSEN,963,36150
SPENCE,964,36129
MCPHERSON,965,36125
CHURCH,966,36072
SCHMITT,967,36043
STANTON,968,35997
LEAL,969,35958
CHERRY,970,35877
COMPTON,971,35830
DUDLEY,972,35781
SIERRA,973,35770
POLLARD,974,35749
ALFARO,975,35725
HESTER,976,35642
PROCTOR,977,35636
LU,978,35628
HINTON,979,35606
NOVAK,980,35461
GOOD,981,35446
MADDEN,982,35438
MCCANN,983,35408
TERRELL,983,35408
JARVIS,985,35350
DICKSON,986,35312
REYNA,987,35291
CANTRELL,988,35266
MAYO,989,35228
BRANCH,990,35225
HENDRIX,991,35194
ROLLINS,992,35132
ROWLAND,993,35121
WHITNEY,994,35118
DUKE,995,35053
ODOM,996,35020
DAUGHERTY,997,34987
TRAVIS,998,34985
TANG,999,34961
ARCHER,1000,34949
HAAS,1001,34918
GALLOWAY,1002,34909
BRAY,1003,34906
NIEVES,1004,34896
PETTY,1005,34882
MCGRATH,1006,34871
KAUFMAN,1007,34844
HOLDEN,1008,34824
KRAUSE,1009,34722
BAIRD,1010,34721
RIGGS,1011,34506
BRAUN,1012,34491
WERNER,1013,34488
QUINONES,1014,34468
SALDANA,1015,34434
MERCER,1016,34431
HATFIELD,1017,34381
MCNEIL,1018,34368
IRWIN,1019,34297
HOOPER,1020,34247
HAYS,1021,34191
JOYCE,1022,34132
MCKNIGHT,1023,34055
GAMBLE,1024,34005
DOWNS,1025,33922
PIERRE,1026,33913
HANEY,1027,33898
FORBES,1028,33813
SAENZ,1029,33787
DAVIES,1030,33753
VERA,1031,33674
LEVINE,1032,33637
MOONEY,1033,33555
JOHN,1034,33543
ROSA,1035,33521
RIDDLE,1036,33507
KEY,1037,33501
CHO,1038,33490
KAISER,1039,33480
HOLDER,1040,33465
BIRD,1041,33457
BONNER,1042,33446
FERRELL,1043,33418
COTTON,1044,33374
DOTSON,1045,33347
MCGOWAN,1046,33340
BARLOW,1047,33335
SHEA,1048,33329
EWING,1049,33314
BRIGHT,1050,33281
BECERRA,1051,33274
LINDSAY,1052,33255
RITTER,1053,33252
COOLEY,1054,33231
FRITZ,1055,33224
COOKE,1056,33223
AMAYA,1057,33218
DELANEY,1057,33218
CHANEY,1059,33201
KIDD,1060,33186
VELASCO,1061,33078
NGO,1062,33005
CHENG,1063,32982
NEWELL,1064,32909
FREY,1065,32904
CARNEY,1066,32897
BARRIOS,1067,32873
BOLTON,1068,32815
HOLMAN,1069,32788
TOVAR,1070,32760
CARDONA,1071,32727
DAILEY,1072,32719
MERRILL,1073,32620
COWAN,1074,32586
SLATER,1075,32584
ALBERT,1076,32507
JUSTICE,1077,32480
OSBORN,1078,32439
CARVER,1079,32415
LANCASTER,1080,32362
GOFF,1081,32298
ZAPATA,1082,32274
FULTON,1083,32258
KANG,1084,32221
SEARS,1085,32206
LEHMAN,1086,32180
BYERS,1087,32174
SNIDER,1088,32148
LAW,1089,32122
TAN,1090,32120
LAKE,1091,32104
LUTZ,1092,32050
COSTELLO,1093,32043
GAY,1094,32025
GUTHRIE,1095,31956
GALLARDO,1096,31909
WORKMAN,1097,31856
MCFADDEN,1098,31839
BLANCO,1099,31800
GORMAN,1100,31788
KATZ,1101,31780
KUHN,1102,31776
NOEL,1103,31768
VALLE,1104,31716
MARINO,1105,31687
HONG,1106,31670
SPRINGER,1107,31643
PICKETT,1108,31611
AGUILERA,1109,31581
CARRASCO,1110,31575
WITT,1110,31575
DONAHUE,1112,31563
KINNEY,1113,31558
DONNELLY,1114,31505
BRITT,1115,31474
CRAFT,1116,31452
ODELL,1117,31349
DALY,1118,31330
WINTER,1119,31310
ABRAHAM,1120,31303
BAEZ,1121,31298
RODRIGUES,1122,31280
WOOTEN,1123,31249
HARTLEY,1124,31221
NG,1125,31210
KENDALL,1126,31209
CLEVELAND,1127,31123
CROWLEY,1128,31098
PEARCE,1129,31060
DILLARD,1130,31021
WILDER,1131,31018
LANGE,1132,30984
SHOEMAKER,1133,30934
FLANAGAN,1134,30887
BRUNO,1135,30883
SEGURA,1136,30880
BEACH,1137,30867
CASTELLANOS,1138,30859
TILLMAN,1139,30825
ALFORD,1140,30771
FINCH,1141,30769
MCLEOD,1141,30769
MACKEY,1143,30749
DODD,1144,30732
EMERSON,1145,30702
MINOR,1145,30702
MUNIZ,1147,30695
ALSTON,1148,30693
MALONEY,1149,30671
CHILDERS,1150,30570
MCDERMOTT,1151,30528
MOSER,1152,30483
VOGEL,1153,30470
MCCABE,1154,30401
ALONSO,1155,30389
DANG,1155,30389
SAUCEDO,1157,30374
STARR,1158,30363
DO,1159,30301
HURTADO,1160,30286
KIRKLAND,1161,30283
HENDRICKSON,1162,30259
HOLLEY,1163,30231
CORDERO,1164,30158
FRANKS,1165,30155
GUILLEN,1166,30153
WELSH,1166,30153
RATLIFF,1168,30083
SWEET,1169,30051
TALLEY,1170,30014
WHITFIELD,1171,29962
CROWE,1172,29953
GOLDSTEIN,1173,29938
ENGLAND,1174,29926
PEREIRA,1175,29898
LY,1176,29891
JOYNER,1177,29884
RICHTER,1178,29880
FARRIS,1179,29877
TRACY,1180,29867
BACON,1181,29860
HAN,1182,29847
GIBBONS,1183,29824
MAYFIELD,1184,29805
HOANG,1185,29798
ELDER,1186,29796
LAU,1187,29792
DALE,1188,29757
CAMP,1189,29753
CONNOLLY,1190,29710
HEWITT,1191,29694
CRAMER,1192,29691
GOLDBERG,1193,29603
MORIN,1194,29593
SUTHERLAND,1195,29585
KAPLAN,1196,29582
MCALLISTER,1197,29544
BYRNE,1198,29503
OSORIO,1199,29482
CASH,1200,29476
HAINES,1201,29462
MEEKS,1202,29457
WYNN,1203,29417
GILLIAM,1204,29414
VIGIL,1205,29382
HICKEY,1206,29350
CONNOR,1207,29346
PATE,1208,29327
ZEPEDA,1209,29252
HATCHER,1210,29235
ESCOBEDO,1211,29185
ARREDONDO,1212,29173
HYDE,1213,29094
CHRISTOPHER,1214,29067
MOBLEY,1215,29065
KESSLER,1216,29064
BRITTON,1217,29040
RITCHIE,1217,29040
ROMANO,1219,29018
ONEIL,1220,28949
TYSON,1221,28947
BUI,1222,28919
HILTON,1223,28918
CABALLERO,1224,28903
DOWNING,1225,28880
SHARPE,1226,28879
GUY,1227,28852
HOLCOMB,1227,28852
RANKIN,1229,28821
GODFREY,1230,28734
CHAMBERLAIN,1231,28727
FINK,1232,28701
HOLLIS,1233,28617
FOREMAN,1234,28605
CARRANZA,1235,28581
SHARMA,1236,28559
KERN,1237,28547
CHU,1238,28508
KNOWLES,1239,28460
MA,1240,28452
MADISON,1241,28411
CHILDS,1242,28359
BELCHER,1243,28321
WILLS,1244,28219
WOMACK,1245,28201
DYE,1246,28182
ARTHUR,1247,28102
