name,sex,total,d1950,d1960,d1970,d1980
Adria,M,7,0,0,0,7
Adrian,F,8748,985,1581,2435,3747
Adrian,M,58781,4057,7672,18912,28140
Adriana,F,21936,654,2451,6200,12631
Adriana,M,208,0,0,35,173
Adriane,F,4901,447,1067,1609,1778
Adriane,M,81,0,0,13,68
Adriann,F,521,34,78,175,234
Adrianna,F,4730,93,342,986,3309
Adrianna,M,6,0,0,0,6
Adrianne,F,8503,861,1447,2517,3678
Adrianne,M,11,0,0,0,11
Adriano,M,371,16,61,132,162
Adriel,F,163,0,0,24,139
Adriel,M,771,51,39,200,481
Adrien,F,745,47,85,213,400
Adrien,M,1367,105,160,410,692
Adriene,F,1888,173,922,343,450
Adriene,M,10,0,0,5,5
Adrienna,F,282,0,50,96,136
Adrienne,F,42751,6295,7996,12794,15666
Adrienne,M,222,0,25,57,140
Adrina,F,414,20,71,124,199
Adron,M,328,84,53,82,109
Aerial,F,308,0,0,0,308
Aesha,F,272,0,0,134,138
Africa,F,563,0,7,441,115
Afton,F,1312,20,29,57,1206
Afton,M,56,15,5,6,30
Agapito,M,693,205,186,197,105
Agatha,F,1392,508,324,246,314
Aggie,F,258,116,87,39,16
Agnes,F,9973,5602,2714,913,744
Agostino,M,223,41,87,63,32
Agustin,F,21,0,0,11,10
Agustin,M,4766,700,867,1376,1823
Agustina,F,366,78,67,104,117
Agustine,M,256,26,48,75,107
Aharon,M,412,7,22,119,264
Ahmad,F,18,0,0,18,0
Ahmad,M,3863,57,205,1287,2314
Ahmed,M,2413,80,221,676,1436
Ahren,M,326,0,0,159,167
Ahsley,F,827,0,0,24,803
Aida,F,5981,1530,1750,1527,1174
Aida,M,5,0,0,0,5
Aidan,F,143,0,0,13,130
Aidan,M,729,21,71,172,465
Aide,F,764,54,113,323,274
Aiesha,F,626,0,0,227,399
Aileen,F,8402,1957,2308,1781,2356
Ailene,F,374,136,116,66,56
Aime,F,629,0,54,309,266
Aime,M,19,19,0,0,0
Aimee,F,37380,976,3811,19407,13186
Aimee,M,78,0,0,39,39
Aimie,F,381,0,21,205,155
Ainsley,F,471,0,17,99,355
Ainsley,M,129,10,11,39,69
Aisha,F,9099,33,163,4643,4260
Aisha,M,20,0,0,15,5
Aishah,F,342,0,41,99,202
Aishia,F,285,0,0,141,144
Aislinn,F,470,0,5,114,351
Aixa,F,279,16,88,71,104
Aiyana,F,208,0,0,76,132
Aj,M,373,0,32,67,274
Aja,F,3050,0,15,874,2161
Aja,M,58,0,0,19,39
Ajay,M,812,0,57,266,489
Akash,M,201,0,0,44,157
Akbar,M,253,0,44,132,77
Akeem,M,1854,0,0,58,1796
Akia,F,569,0,0,168,401
Akia,M,5,0,0,0,5
Akiko,F,242,0,26,101,115
Akil,M,621,0,0,305,316
Akilah,F,1175,0,0,507,668
Akim,M,219,0,11,121,87
Akira,F,338,0,0,50,288
Akira,M,229,0,15,54,160
Akisha,F,328,0,0,181,147
Akiva,F,8,0,0,8,0
Akiva,M,313,0,11,125,177
Al,F,98,41,5,44,8
Al,M,8120,3219,2520,1409,972
Alain,F,6,0,0,6,0
Alain,M,1736,183,358,457,738
Alaina,F,5812,92,415,901,4404
Alaina,M,6,0,0,0,6
Alaine,F,756,166,252,139,199
Alan,F,654,142,195,145,172
Alan,M,197006,83976,61392,24813,26825
Alana,F,13737,1413,1889,3519,6916
Alana,M,19,0,0,0,19
Alanda,F,558,64,133,217,144
Alane,F,1473,502,652,185,134
Alanna,F,5288,423,499,1449,2917
Alanna,M,7,0,0,0,7
Alaric,M,497,30,157,173,137
Alastair,M,203,0,10,48,145
Alayna,F,1289,11,105,245,928
Alayne,F,595,160,202,118,115
Alba,F,1819,320,305,356,838
Alba,M,10,5,0,0,5
Albaro,M,320,25,23,98,174
Albert,F,798,254,207,206,131
Albert,M,129823,52829,36379,22112,18503
Alberta,F,8818,4897,2415,938,568
Alberta,M,36,11,5,0,20
Albertha,F,781,528,192,42,19
Albertina,F,533,97,170,173,93
Albertine,F,238,125,70,37,6
Alberto,F,239,37,24,92,86
Alberto,M,26143,3350,5492,7216,10085
Albin,M,588,255,156,106,71
Albina,F,245,109,52,41,43
Albino,M,579,170,150,134,125
Alcides,M,236,15,50,77,94
Alda,F,686,283,163,145,95
Alden,F,140,20,0,27,93
Alden,M,2956,939,720,497,800
Aldo,F,10,0,0,0,10
Aldo,M,3329,483,680,791,1375
Aldon,M,399,128,108,73,90
Aldric,M,217,25,55,72,65
Alea,F,652,0,31,162,459
Aleah,F,838,0,11,136,691
Alease,F,357,150,101,49,57
Aleasha,F,567,0,14,168,385
Aleatha,F,382,114,106,108,54
Alec,F,58,0,0,0,58
Alec,M,5528,653,974,901,3000
Alecia,F,7612,609,1589,2218,3196
Aleda,F,285,121,65,62,37
Aleece,F,245,5,31,47,162
Aleen,F,287,89,77,44,77
Aleena,F,251,0,6,49,196
Aleesha,F,563,0,0,140,423
Aleia,F,207,0,0,30,177
Aleida,F,527,37,158,160,172
Aleisa,F,221,6,108,33,74
Aleisha,F,1407,0,68,378,961
Alejandra,F,8205,160,411,2073,5561
Alejandra,M,188,0,0,19,169
Alejandrina,F,682,41,120,241,280
Alejandro,F,314,0,10,81,223
Alejandro,M,29262,1713,3099,9134,15316
Alejo,M,302,65,66,73,98
Alek,M,223,0,0,25,198
Aleksandar,M,217,0,5,97,115
Aleksander,M,214,0,10,46,158
Aleksandra,F,282,0,14,79,189
Alen,M,564,107,140,130,187
Alena,F,2816,194,446,869,1307
Alene,F,1426,701,385,168,172
Alesa,F,620,124,243,130,123
Alesha,F,4010,5,257,1232,2516
Alesha,M,6,0,0,0,6
Aleshia,F,1791,20,248,523,1000
Alesia,F,5551,474,3304,609,1164
Alessandra,F,1698,51,177,335,1135
Alessandro,M,936,38,133,273,492
Aleta,F,3667,1492,1163,605,407
Aletha,F,2806,879,867,680,380
Alethea,F,2892,464,680,1215,533
Alethia,F,1130,237,312,349,232
Aletta,F,331,99,81,100,51
Alex,F,1583,94,131,187,1171
Alex,M,72941,8198,12034,13997,38712
Alexa,F,7199,409,441,1564,4785
Alexa,M,32,0,0,0,32
Alexande,M,314,0,0,0,314
Alexander,F,1979,52,111,288,1528
Alexander,M,133290,12180,14168,24932,82010
Alexandr,F,301,0,0,0,301
Alexandr,M,26,0,0,0,26
Alexandra,F,46619,1598,3244,6960,34817
Alexandra,M,376,0,8,67,301
Alexandre,F,54,0,0,0,54
Alexandre,M,991,19,105,251,616
Alexandrea,F,1212,0,13,114,1085
Alexandria,F,14309,410,726,1523,11650
Alexandria,M,83,0,0,0,83
Alexandro,M,1665,120,181,514,850
Alexandros,M,383,0,17,144,222
Alexi,F,348,0,11,54,283
Alexi,M,340,0,23,125,192
Alexia,F,3320,181,385,751,2003
Alexia,M,10,0,0,0,10
Alexis,F,36067,2028,1666,6052,26321
Alexis,M,8332,331,953,2006,5042
Alexsandra,F,340,0,16,91,233
Alferd,M,245,142,70,33,0
Alfie,F,76,0,24,52,0
Alfie,M,373,0,169,183,21
Alfonse,M,331,139,90,60,42
Alfonso,F,75,11,16,26,22
Alfonso,M,16246,3819,3775,4115,4537
Alfonza,M,925,374,247,179,125
Alfonzo,M,2841,701,669,802,669
Alford,M,1330,600,344,225,161
Alfred,F,446,138,136,115,57
Alfred,M,66391,29752,18656,10531,7452
Alfreda,F,5287,2494,1720,754,319
Alfreda,M,25,13,7,5,0
Alfredia,F,748,405,235,97,11
Alfredo,F,215,30,44,66,75
Alfredo,M,23423,4042,4964,6578,7839
Alfreida,F,239,135,85,19,0
Algernon,M,557,100,102,199,156
Algie,F,10,10,0,0,0
Algie,M,444,195,112,84,53
Ali,F,2397,0,20,786,1591
Ali,M,5153,166,408,1733,2846
Alia,F,1835,0,46,587,1202
Alica,F,922,108,240,248,326
Alice,F,97490,52074,26954,11132,7330
Alice,M,343,156,95,52,40
Alicea,F,482,23,55,155,249
Alicen,F,280,0,12,93,175
Alicia,F,138529,9888,22422,39253,66966
Alicia,M,552,26,64,180,282
Alicyn,F,200,0,12,73,115
Alida,F,1499,460,324,382,333
Aliesha,F,387,0,5,109,273
Alika,F,123,0,0,35,88
Alika,M,212,0,0,78,134
Alina,F,3627,100,491,1185,1851
Alinda,F,356,152,96,66,42
Aline,F,2076,919,621,251,285
Alisa,F,23165,1941,8421,7586,5217
Alisa,M,22,0,5,17,0
Alise,F,1186,135,286,204,561
Alisha,F,32234,92,1473,8918,21751
Alisha,M,114,0,0,38,76
Alishia,F,1701,0,99,494,1108
Alisia,F,1815,124,408,527,756
Alison,F,67537,6216,12233,22070,27018
Alison,M,338,25,22,128,163
Alissa,F,14272,203,1245,4621,8203
Alissa,M,31,0,0,12,19
Alistair,M,226,7,11,96,112
Alita,F,945,223,275,245,202
Alivia,F,323,17,0,98,208
Alix,F,1074,160,128,173,613
Alix,M,275,5,42,80,148
Aliya,F,648,0,0,257,391
Aliyah,F,335,0,0,52,283
Aliza,F,1430,35,234,461,700
Allan,F,152,37,38,36,41
Allan,M,40324,17697,11110,5911,5606
Allana,F,657,80,97,198,282
Allegra,F,1393,109,189,419,676
Allen,F,772,206,224,152,190
Allen,M,128587,47322,37694,21667,21904
Allena,F,506,87,96,151,172
Allene,F,1101,591,273,141,96
Allicia,F,407,0,38,116,253
Allie,F,2596,543,237,302,1514
Allie,M,529,225,150,86,68
Allisa,F,521,0,119,157,245
Allisha,F,459,0,0,116,343
Allison,F,117563,4553,16525,34158,62327
Allison,M,1353,383,403,252,315
Allissa,F,417,0,6,116,295
Allyce,F,216,18,12,0,186
Allyn,F,990,413,236,112,229
Allyn,M,1375,500,375,222,278
Allysa,F,376,0,0,48,328
Allyse,F,220,0,0,5,215
Allyson,F,16241,1205,3085,4745,7206
Allyson,M,16,0,5,11,0
Allyssa,F,810,0,0,104,706
Alma,F,27299,9637,6382,5592,5688
Alma,M,517,120,99,136,162
Almeda,F,447,219,126,53,49
Almeta,F,432,206,102,83,41
Almira,F,203,63,49,67,24
Almon,M,289,113,76,43,57
Alnisa,F,224,0,14,119,91
Alois,M,208,121,65,17,5
Aloma,F,247,108,85,39,15
Alon,F,6,0,0,0,6
Alon,M,352,8,50,134,160
Alona,F,744,113,144,167,320
Alonda,F,655,58,180,251,166
Alondra,F,877,8,75,150,644
Alonna,F,328,23,11,80,214
Alonso,M,1675,146,236,457,836
Alonza,M,1406,492,424,278,212
Alonzo,F,139,37,25,32,45
Alonzo,M,15470,3966,4395,3490,3619
Alora,F,222,15,36,35,136
Aloysius,M,772,254,217,157,144
Alpha,F,649,276,150,133,90
Alpha,M,414,121,92,113,88
Alphonse,M,1799,760,496,304,239
Alphonso,F,21,0,11,5,5
Alphonso,M,8166,2768,2488,1615,1295
Alphonza,M,265,134,75,43,13
Alphonzo,M,1090,328,321,253,188
Alston,M,394,93,77,72,152
Alta,F,2578,1280,589,420,289
Altagracia,F,418,66,92,135,125
Altha,F,290,184,86,20,0
Althea,F,6400,3015,1791,1002,592
Alton,F,84,30,34,5,15
Alton,M,15431,5989,4376,2855,2211
Alva,F,1911,797,519,316,279
Alva,M,1646,717,479,292,158
Alvah,M,328,184,54,61,29
Alvan,M,223,101,49,46,27
Alvaro,M,4781,499,658,1202,2422
Alvera,F,264,154,68,34,8
Alvester,M,216,108,60,32,16
Alvie,F,24,24,0,0,0
Alvie,M,868,367,253,159,89
Alvin,F,460,163,120,90,87
Alvin,M,53747,23087,14509,8677,7474
Alvina,F,1613,525,356,420,312
Alvino,M,717,184,189,187,157
Alvis,F,61,51,5,5,0
Alvis,M,1498,659,374,265,200
Alvita,F,252,64,44,83,61
Alyce,F,3537,1521,901,530,585
Alycia,F,4306,160,465,1230,2451
Alys,F,307,90,70,65,82
Alysa,F,1368,33,182,334,819
Alyse,F,2671,183,269,327,1892
Alysha,F,2948,0,33,484,2431
Alyshia,F,472,0,0,111,361
Alysia,F,4149,115,378,1535,2121
Alyson,F,10928,585,1412,3367,5564
Alyson,M,5,0,0,0,5
Alyssa,F,40632,98,1503,6079,32952
Alyssa,M,106,0,0,6,100
Alysse,F,346,0,0,9,337
Alyssia,F,695,0,7,121,567
Amada,F,776,131,140,191,314
Amadeo,M,342,89,65,80,108
Amado,M,1472,360,324,390,398
Amador,M,1323,300,292,383,348
Amal,F,505,0,36,163,306
Amal,M,54,0,0,14,40
Amalia,F,3293,659,711,866,1057
Amamda,F,209,0,0,31,178
Aman,F,5,0,0,0,5
Aman,M,215,0,5,74,136
Amanada,F,302,0,0,50,252
Amanda,F,516294,5471,17176,123920,369727
Amanda,M,1655,5,51,442,1157
Amando,F,114,0,0,15,99
Amando,M,458,96,98,124,140
Amani,F,338,0,6,106,226
Amani,M,60,0,0,47,13
Amar,M,773,0,16,258,499
Amara,F,767,0,30,214,523
Amara,M,7,0,0,0,7
Amarilis,F,287,0,33,89,165
Amaris,F,864,0,13,231,620
Amaryllis,F,269,28,31,100,110
Ambar,F,621,0,0,6,615
Ambar,M,5,0,0,0,5
Amber,F,207736,1255,5467,47063,153951
Amber,M,688,0,5,157,526
Amberlee,F,608,0,0,154,454
Amberley,F,226,0,0,52,174
Amberly,F,2042,0,68,540,1434
Amberlyn,F,241,0,0,49,192
Ambra,F,601,12,29,152,408
Ambre,F,417,0,7,123,287
Ambria,F,296,0,0,31,265
Ambrose,M,1577,494,400,323,360
Ambrosia,F,570,0,0,67,503
Ambrosio,M,372,115,91,70,96
Ambur,F,248,0,0,55,193
Ame,F,300,0,55,161,84
Amee,F,1281,7,139,682,453
Ameer,M,559,0,14,202,343
Ameerah,F,231,0,0,83,148
Amelia,F,25074,5189,4824,5321,9740
Amelia,M,40,0,5,5,30
Amelie,F,316,59,41,90,126
Amena,F,210,0,9,83,118
Amenda,F,216,5,30,62,119
Amer,F,12,0,0,0,12
Amer,M,231,0,5,50,176
America,F,1415,148,208,491,568
Americo,M,704,169,203,185,147
Ames,M,483,102,98,110,173
Amethyst,F,461,0,16,100,345
Amey,F,562,50,118,260,134
Ami,F,5299,120,660,2772,1747
Ami,M,37,0,0,20,17
Amia,F,223,0,15,65,143
Amie,F,15667,325,1394,7807,6141
Amie,M,19,0,0,14,5
Amiee,F,1168,11,81,631,445
Amiel,M,265,57,55,74,79
Amilcar,M,210,11,0,71,128
Amin,M,770,0,14,325,431
Amina,F,1367,12,64,536,755
Aminah,F,506,0,24,200,282
Amir,F,16,0,0,0,16
Amir,M,2653,11,144,655,1843
Amira,F,876,0,24,257,595
Amirah,F,347,0,0,51,296
Amisha,F,238,0,0,78,160
Amit,F,7,0,0,0,7
Amit,M,1531,0,34,480,1017
Amita,F,243,0,17,114,112
Amity,F,1050,0,42,638,370
Ammar,M,204,0,0,28,176
Ammie,F,1149,126,158,533,332
Ammon,M,926,78,86,309,453
Ammy,F,282,0,28,147,107
Amon,M,580,99,75,212,194
Amorette,F,211,0,11,88,112
Amos,F,22,16,6,0,0
Amos,M,9372,2810,2086,2155,2321
Amparo,F,1292,365,295,347,285
Amparo,M,7,0,0,0,7
Amrita,F,209,0,0,43,166
Amy,F,567014,30583,116775,268994,150662
Amy,M,1631,48,287,771,525
Amye,F,472,23,86,200,163
Amyjo,F,467,0,100,239,128
An,F,297,36,16,46,199
An,M,274,0,0,46,228
Ana,F,38521,3930,7844,11217,15530
Ana,M,340,12,29,109,190
Anabel,F,2488,128,310,641,1409
Anabel,M,15,0,0,0,15
Anabell,F,250,0,46,73,131
Anabelle,F,344,21,54,109,160
Anahi,F,224,0,0,18,206
Anais,F,915,0,0,33,882
Anais,M,6,0,0,0,6
Analicia,F,242,0,5,0,237
Analisa,F,1008,11,124,289,584
Analise,F,201,0,0,26,175
Anamaria,F,1025,53,204,292,476
Anamarie,F,386,16,74,107,189
Anand,M,756,0,34,292,430
Ananda,F,387,0,15,199,173
Ananda,M,40,0,0,35,5
Anastacia,F,1219,93,150,312,664
Anastacio,M,862,229,206,213,214
Anastasia,F,9333,586,1519,2397,4831
Anastasia,M,13,0,0,0,13
Anastasios,M,512,12,79,237,184
Ancil,M,236,109,63,36,28
Andee,F,221,12,30,85,94
Andera,F,644,36,176,226,206
Andera,M,18,6,5,7,0
Anders,M,1190,115,190,300,585
Anderson,F,15,0,0,0,15
Anderson,M,3428,1034,749,736,909
Andi,F,838,91,163,251,333
Andi,M,34,0,0,16,18
Andra,F,3917,824,1232,1029,832
Andra,M,2173,279,786,693,415
Andrae,F,41,0,10,15,16
Andrae,M,1302,12,96,419,775
Andraya,F,222,0,0,58,164
Andre,F,1714,242,467,561,444
Andre,M,68262,7399,18117,21139,21607
Andrea,F,272473,29380,58406,86424,98263
Andrea,M,4316,415,1087,1547,1267
Andreana,F,794,10,50,379,355
Andreanna,F,237,0,12,70,155
Andreas,F,23,0,5,0,18
Andreas,M,2652,150,671,760,1071
Andree,F,1104,350,377,198,179
Andree,M,411,54,124,112,121
Andrei,M,612,81,146,193,192
Andreia,F,321,0,54,109,158
Andreina,F,284,5,0,11,268
Andreina,M,6,0,0,0,6
Andrena,F,507,80,137,151,139
Andres,F,225,0,11,80,134
Andres,M,19069,1615,2588,4829,10037
Andretta,F,284,67,91,94,32
Andrew,F,2973,209,393,663,1708
Andrew,M,576084,60972,97109,132929,285074
Andrey,F,66,0,6,23,37
Andrey,M,446,37,86,166,157
Andrez,M,203,12,15,57,119
Andria,F,5766,404,921,1990,2451
Andria,M,27,0,10,17,0
Andrian,F,83,0,10,31,42
Andrian,M,227,0,17,95,115
Andriana,F,473,0,24,119,330
Andrienne,F,256,20,27,88,121
Andrina,F,300,13,21,104,162
Andy,F,436,96,133,95,112
Andy,M,36533,6897,12138,9038,8460
Aneesah,F,354,0,0,157,197
Aneesha,F,205,0,0,69,136
Anel,F,690,0,0,348,342
Anel,M,26,0,0,0,26
Anesha,F,354,0,5,118,231
Anessa,F,629,0,84,331,214
Aneta,F,307,99,71,57,80
Anetra,F,382,7,18,269,88
Anetta,F,267,90,104,49,24
Anette,F,1158,212,491,262,193
Angala,F,213,0,45,133,35
Angel,F,39173,1091,4532,16814,16736
Angel,M,38604,4224,7404,11178,15798
Angela,F,541508,40357,159294,225262,116595
Angela,M,1764,106,404,771,483
Angele,F,924,108,279,305,232
Angelea,F,441,26,126,190,99
Angelee,F,412,28,72,163,149
Angelena,F,1138,75,217,400,446
Angelene,F,900,179,193,307,221
Angeles,F,353,56,88,91,118
Angelette,F,367,26,142,143,56
Angeli,F,263,53,54,57,99
Angelia,F,18347,2187,7911,6521,1728
Angelia,M,22,0,10,12,0
Angelic,F,2115,14,252,1157,692
Angelica,F,32008,828,2369,9735,19076
Angelica,M,204,0,0,46,158
Angelie,F,240,5,45,101,89
Angelika,F,758,60,187,194,317
Angelina,F,20767,2488,3720,6357,8202
Angelina,M,25,0,0,0,25
Angeline,F,5691,1289,1208,1654,1540
Angelique,F,12566,333,2401,6139,3693
Angelique,M,6,0,0,6,0
Angelisa,F,263,5,56,96,106
Angelita,F,5474,1327,1411,1601,1135
Angelita,M,5,0,0,0,5
Angell,F,246,5,41,104,96
Angella,F,2658,155,667,1241,595
Angelle,F,898,21,182,326,369
Angelo,F,616,78,196,209,133
Angelo,M,23956,5727,6577,5487,6165
Angelyn,F,908,247,237,252,172
Angenette,F,361,57,122,143,39
Angi,F,496,30,180,236,50
Angie,F,36163,3684,13023,13784,5672
Angie,M,116,7,29,39,41
Angila,F,580,31,159,268,122
Angla,F,506,15,187,244,60
Angle,F,793,16,156,382,239
Angle,M,64,6,5,16,37
Anglea,F,1442,39,411,660,332
Anglia,F,639,47,285,272,35
Angus,M,1295,345,283,307,360
Anh,F,587,0,0,71,516
Anh,M,323,0,0,53,270
Ani,F,426,7,34,116,269
Anibal,F,5,0,0,5,0
Anibal,M,2060,303,512,608,637
Anica,F,352,0,0,165,187
Anika,F,2197,0,26,1222,949
Anil,M,705,9,86,276,334
Anisa,F,910,7,189,357,357
Anise,F,415,119,77,111,108
Anish,M,268,0,0,76,192
Anisha,F,1190,0,17,328,845
Anissa,F,5142,0,1352,3043,747
Anissa,M,5,0,0,5,0
Anita,F,119432,47588,44416,18834,8594
Anita,M,382,110,140,81,51
Anitra,F,3729,176,329,2489,735
Anja,F,568,0,157,195,216
Anjali,F,751,0,38,288,425
Anjanette,F,2319,0,705,1424,190
Anjeanette,F,377,0,97,236,44
Anjelica,F,1222,0,26,279,917
Anjuli,F,312,0,0,10,302
Ankit,M,211,0,0,10,201
Ankur,M,387,0,0,98,289
Ann,F,207088,87047,72083,32030,15928
Ann,M,592,181,208,136,67
Anna,F,177776,41701,40935,37813,57327
Anna,M,708,133,149,163,263
Annabel,F,1728,261,374,403,690
Annabell,F,617,164,163,138,152
Annabelle,F,2343,587,616,561,579
Annah,F,362,15,5,71,271
Annalee,F,935,128,154,238,415
Annaliese,F,293,0,27,55,211
Annalisa,F,1954,72,366,639,877
Annalise,F,512,0,18,103,391
Annamae,F,287,130,64,24,69
Annamaria,F,2001,260,651,567,523
Annamarie,F,5074,1044,1597,1004,1429
Annastasia,F,296,0,13,61,222
Anndrea,F,308,0,15,118,175
Anne,F,147895,52404,47774,25602,22115
Anne,M,436,94,130,95,117
Anneka,F,248,0,0,116,132
Anneke,F,310,10,18,135,147
Anneliese,F,931,90,198,270,373
Annelise,F,613,15,77,133,388
Annelle,F,262,160,57,34,11
Annemarie,F,7455,1032,2812,1994,1617
Annessa,F,267,0,31,129,107
Annett,F,691,168,334,138,51
Annetta,F,3385,1219,1265,628,273
Annette,F,110428,35341,51925,16056,7106
Annette,M,344,80,178,63,23
Annice,F,535,237,166,73,59
Annie,F,47014,23682,9652,5418,8262
Annie,M,225,140,37,5,43
Annika,F,1252,0,74,388,790
Annis,F,317,208,75,16,18
Annisa,F,245,0,51,131,63
Annissa,F,513,0,93,289,131
Annita,F,823,326,260,162,75
Annmarie,F,12235,1982,4648,3518,2087
Anntoinette,F,319,53,100,83,83
Anny,F,320,11,8,63,238
Anothony,M,319,53,123,82,61
Ansel,M,642,170,124,160,188
Anselmo,M,1095,299,250,272,274
Ansley,F,829,0,66,206,557
Ansley,M,80,11,5,24,40
Anson,M,1932,237,332,635,728
Antawn,M,340,0,0,142,198
Anthea,F,425,49,107,131,138
Anthoney,M,1630,286,467,456,421
Anthonio,M,224,6,26,100,92
Anthony,F,4908,545,1290,1411,1662
Anthony,M,726540,136647,203159,174873,211861
Antione,F,49,0,0,38,11
Antione,M,3033,47,310,1273,1403
Antionette,F,6087,1043,1927,1551,1566
Antionio,M,282,0,17,136,129
Antiono,M,284,0,53,119,112
Antjuan,M,428,0,7,174,247
Antoin,M,384,0,51,175,158
Antoine,F,322,0,35,160,127
Antoine,M,15858,550,1855,5828,7625
Antoinetta,F,351,64,106,100,81
Antoinette,F,33118,9045,9938,7204,6931
Antoinette,M,46,0,20,11,15
Antoinne,M,272,0,14,118,140
Antoino,M,356,6,40,153,157
Anton,F,21,0,0,8,13
Anton,M,7276,1284,1536,2089,2367
Antone,M,1934,453,467,550,464
Antonella,F,781,5,147,342,287
Antonetta,F,225,73,86,46,20
Antonette,F,3202,709,884,838,771
Antoni,F,5,0,5,0,0
Antoni,M,451,32,84,149,186
Antonia,F,11926,3183,2539,2850,3354
Antonia,M,2103,155,475,883,590
Antonie,M,486,0,47,195,244
Antonietta,F,914,113,322,320,159
Antoniette,F,539,118,165,142,114
Antonina,F,855,163,196,266,230
Antonino,M,803,50,155,304,294
Antonio,F,1298,106,224,459,509
Antonio,M,105129,11639,18594,33280,41616
Antonios,M,389,10,25,191,163
Antonius,M,243,0,29,120,94
Antony,M,4243,499,1151,1270,1323
Antonyo,M,247,0,5,96,146
Antron,M,778,0,35,272,471
Antuan,M,662,0,12,264,386
Antwain,M,1313,0,9,523,781
Antwaine,M,228,0,0,91,137
Antwan,F,113,0,0,68,45
Antwan,M,6107,6,200,2197,3704
Antwane,M,509,0,6,222,281
Antwanette,F,305,0,8,104,193
Antwann,M,335,0,5,123,207
Antwaun,F,5,0,0,5,0
Antwaun,M,658,0,10,202,446
Antwine,M,356,10,50,141,155
Antwoin,M,202,0,0,92,110
Antwoine,M,521,5,16,224,276
Antwon,F,5,0,0,5,0
Antwon,M,2791,5,124,893,1769
Antwone,M,781,8,31,313,429
Antwuan,M,327,0,0,112,215
Anuj,M,246,0,5,72,169
Anwar,F,19,0,0,0,19
Anwar,M,1228,0,6,487,735
Any,F,442,0,64,195,183
