sim_id,language,domain,system,utterance_idx,finding_index,severity,time_range,clip_duration_seconds,span_start_seconds,span_end_seconds
0d5058ca-a72b-46a8-8558-794027a04457,en,airline,Gemini minimal,399,0,1,0:00 - 0:01,1.0,0.0,1.0
0d5058ca-a72b-46a8-8558-794027a04457,en,airline,Gemini minimal,417,0,2,0:01-0:02,2.4,1.0,2.0
182784ff-01fd-4469-ae90-2bcf160a4ad3,en,airline,Gemini minimal,304,0,3,00:01-00:02,1.8,1.0,2.0
21b73b1f-98c2-4bb6-b702-9d08271860ed,en,airline,Gemini minimal,253,0,2,0:12-0:13,14.0,12.0,13.0
21b73b1f-98c2-4bb6-b702-9d08271860ed,en,airline,Gemini minimal,326,0,2,0:02-0:03,3.4,2.0,3.0
2ecc1992-9224-404e-b58d-757c19177c79,en,airline,Gemini minimal,51,0,2,00:03-00:04,3.8,3.0,4.0
39802772-7769-4ea3-a4de-424e4cd461bc,en,airline,Gemini minimal,390,0,3,0:03-0:05,5.6,3.0,5.0
3a2a8e6a-fdf9-48cd-a0ff-8eb24175a99a,en,airline,Gemini minimal,386,0,2,0.5-0.8,0.8,0.5,0.8
4128f808-3a87-4e77-b9f2-b46cc75fa2b0,en,airline,Gemini minimal,89,0,1,00:01 - 00:02,2.8,1.0,2.0
4128f808-3a87-4e77-b9f2-b46cc75fa2b0,en,airline,Gemini minimal,375,0,3,0:02-0:03,3.4,2.0,3.0
42510a5d-79e7-4fec-b59c-e7ccc572f261,en,airline,Gemini minimal,520,1,1,0:11-0:12,12.6,11.0,12.0
50198cc7-5197-4249-ba7c-f36641052e7e,en,airline,Gemini minimal,455,1,2,00:03-00:04,4.4,3.0,4.0
58338736-f685-4e89-90c6-5b1d0f2ebaf8,en,airline,Gemini minimal,204,0,3,0:05-0:12,12.8,5.0,12.0
6ee571d0-dcfd-4d7a-b2df-70cfa756fa35,en,airline,Gemini minimal,855,0,3,0.00-0.50,0.4,0.0,0.5
814aea83-a0dd-4372-bdfa-c5672d4f77d7,en,airline,Gemini minimal,352,1,1,0:41-0:43,43.2,41.0,43.0
814aea83-a0dd-4372-bdfa-c5672d4f77d7,en,airline,Gemini minimal,426,0,2,0:03-0:04,3.6,3.0,4.0
8ce2ccc5-607b-40ef-a2f1-ece008f63a9d,en,airline,Gemini minimal,181,0,1,0:11-0:12,12.2,11.0,12.0
988f64fe-8ae8-4f4a-98f7-873e9a433a64,en,airline,Gemini minimal,234,0,1,0:12-0:13,13.2,12.0,13.0
988f64fe-8ae8-4f4a-98f7-873e9a433a64,en,airline,Gemini minimal,250,0,1,0.00-0.50,0.8,0.0,0.5
988f64fe-8ae8-4f4a-98f7-873e9a433a64,en,airline,Gemini minimal,306,0,2,00:03-00:04,4.6,3.0,4.0
988f64fe-8ae8-4f4a-98f7-873e9a433a64,en,airline,Gemini minimal,373,0,1,0:05-0:06,7.0,5.0,6.0
bb4620dc-3304-421c-a024-cd2549f46652,en,airline,Gemini minimal,133,0,1,0:10-0:12,12.2,10.0,12.0
c2a54fae-66b1-48a1-b05c-50ea1e582f4e,en,airline,Gemini minimal,148,0,3,0.00-0.80,0.4,0.0,0.8
c2a54fae-66b1-48a1-b05c-50ea1e582f4e,en,airline,Gemini minimal,231,0,2,00:01-00:02,2.2,1.0,2.0
df7184fc-8ec4-407d-bbc2-f39bc446713a,en,airline,Gemini minimal,121,0,1,0:11-0:12,13.0,11.0,12.0
e19309ff-cd85-4ed9-9781-e015ab5f4d22,en,airline,Gemini minimal,157,0,1,00:00-00:01,1.2,0.0,1.0
e19309ff-cd85-4ed9-9781-e015ab5f4d22,en,airline,Gemini minimal,164,0,1,0.00-0.50,0.6,0.0,0.5
f075fbe3-1332-4cfd-9f2a-c462e5bfb701,en,airline,Gemini minimal,537,1,2,00:08-00:09,9.4,8.0,9.0
f075fbe3-1332-4cfd-9f2a-c462e5bfb701,en,airline,Gemini minimal,646,0,1,0:05-0:07,7.2,5.0,7.0
02344bbd-2332-4d66-87b9-72a924a44ef5,en,airline,OpenAI minimal,124,0,2,0:00-0:01,0.6,0.0,1.0
02344bbd-2332-4d66-87b9-72a924a44ef5,en,airline,OpenAI minimal,132,0,2,0.00-0.90,1.0,0.0,0.9
02344bbd-2332-4d66-87b9-72a924a44ef5,en,airline,OpenAI minimal,288,0,2,0:00-0:00,0.4,0.0,0.0
02344bbd-2332-4d66-87b9-72a924a44ef5,en,airline,OpenAI minimal,304,0,1,00:03-00:04,4.4,3.0,4.0
02344bbd-2332-4d66-87b9-72a924a44ef5,en,airline,OpenAI minimal,353,0,2,0:03-0:04,5.0,3.0,4.0
02344bbd-2332-4d66-87b9-72a924a44ef5,en,airline,OpenAI minimal,449,1,1,0:04-0:06,6.2,4.0,6.0
02344bbd-2332-4d66-87b9-72a924a44ef5,en,airline,OpenAI minimal,541,0,1,0:00-0:01,1.2,0.0,1.0
0718de6e-5c59-4a8d-96a7-888eff8adeb0,en,airline,OpenAI minimal,208,0,2,00:01-00:02,2.2,1.0,2.0
0790f514-5e86-47b7-a03d-3b3076be68da,en,airline,OpenAI minimal,53,0,2,00:11-00:12,12.8,11.0,12.0
0790f514-5e86-47b7-a03d-3b3076be68da,en,airline,OpenAI minimal,172,0,3,00:09-00:12,12.2,9.0,12.0
0790f514-5e86-47b7-a03d-3b3076be68da,en,airline,OpenAI minimal,234,0,1,0:08-0:10,10.8,8.0,10.0
15d41c8c-1cb8-41ab-9ebc-3e621cf04023,en,airline,OpenAI minimal,108,0,2,0:13-0:14,15.0,13.0,14.0
15d41c8c-1cb8-41ab-9ebc-3e621cf04023,en,airline,OpenAI minimal,671,0,2,0:05-0:06,7.0,5.0,6.0
1f346b90-2fb9-4c28-998b-c00c522bda9d,en,airline,OpenAI minimal,195,0,1,0:09-0:10,10.4,9.0,10.0
1f346b90-2fb9-4c28-998b-c00c522bda9d,en,airline,OpenAI minimal,368,0,1,0:00-0:01,0.4,0.0,1.0
1f346b90-2fb9-4c28-998b-c00c522bda9d,en,airline,OpenAI minimal,625,0,1,0:07-0:09,9.8,7.0,9.0
1f346b90-2fb9-4c28-998b-c00c522bda9d,en,airline,OpenAI minimal,983,0,2,00:09-00:10,11.0,9.0,10.0
201d0a6f-2e41-465b-bcf7-0bd4bc57d61f,en,airline,OpenAI minimal,434,0,2,0:00-0:01,1.2,0.0,1.0
2e3d00cb-1464-4810-a41d-00a4a867b0d0,en,airline,OpenAI minimal,182,0,1,0:08-0:10,10.2,8.0,10.0
2ebe9a48-37fe-49ec-b996-e1de5c0f7693,en,airline,OpenAI minimal,125,0,2,00:01,1.6,1.0,1.0
2ebe9a48-37fe-49ec-b996-e1de5c0f7693,en,airline,OpenAI minimal,474,0,1,0:01-0:01,1.8,1.0,1.0
2ebe9a48-37fe-49ec-b996-e1de5c0f7693,en,airline,OpenAI minimal,487,0,1,0.00-0.50,0.6,0.0,0.5
2ebe9a48-37fe-49ec-b996-e1de5c0f7693,en,airline,OpenAI minimal,520,0,1,0:03-0:04,4.0,3.0,4.0
2ebe9a48-37fe-49ec-b996-e1de5c0f7693,en,airline,OpenAI minimal,568,0,1,00:04-00:05,5.8,4.0,5.0
2ebe9a48-37fe-49ec-b996-e1de5c0f7693,en,airline,OpenAI minimal,615,0,2,00:03-00:05,5.4,3.0,5.0
3557a592-6846-4be1-8e70-6771ce007765,en,airline,OpenAI minimal,287,0,2,00:03-00:04,4.2,3.0,4.0
3f4ac3b6-3f65-472d-bf2f-f59d39f72d82,en,airline,OpenAI minimal,255,0,2,0:26-0:28,27.8,26.0,28.0
3f4ac3b6-3f65-472d-bf2f-f59d39f72d82,en,airline,OpenAI minimal,335,0,1,0.00-0.50,0.4,0.0,0.5
3f4ac3b6-3f65-472d-bf2f-f59d39f72d82,en,airline,OpenAI minimal,340,0,2,0:03-0:04,4.0,3.0,4.0
415e416d-9b81-4f0b-9734-933dee34d905,en,airline,OpenAI minimal,146,0,2,00:12-00:14,14.4,12.0,14.0
415e416d-9b81-4f0b-9734-933dee34d905,en,airline,OpenAI minimal,332,0,1,00:01-00:02,1.8,1.0,2.0
42b18195-7097-48c4-9d2d-8f55f6bfc808,en,airline,OpenAI minimal,148,0,2,0:08-0:09,9.8,8.0,9.0
42b18195-7097-48c4-9d2d-8f55f6bfc808,en,airline,OpenAI minimal,198,0,1,00:01-00:02,2.2,1.0,2.0
49de58e7-c41b-4736-a21f-93e9f05fc67c,en,airline,OpenAI minimal,432,0,3,0:04-0:05,5.6,4.0,5.0
4a6f1c2c-5eb0-4c3f-8862-f00eac8ceed5,en,airline,OpenAI minimal,686,0,1,0:05-0:08,8.6,5.0,8.0
4a6f1c2c-5eb0-4c3f-8862-f00eac8ceed5,en,airline,OpenAI minimal,794,0,1,0:02-0:03,3.6,2.0,3.0
4d3076e4-10a5-4169-aa0f-f6d103c1ae3d,en,airline,OpenAI minimal,86,0,1,0:24-0:25,25.8,24.0,25.0
4d3076e4-10a5-4169-aa0f-f6d103c1ae3d,en,airline,OpenAI minimal,233,0,2,0:10-0:12,12.2,10.0,12.0
4d3076e4-10a5-4169-aa0f-f6d103c1ae3d,en,airline,OpenAI minimal,519,0,1,0:23-0:25,25.2,23.0,25.0
51345342-a67e-433d-bf61-6b8ab1c4f718,en,airline,OpenAI minimal,147,0,2,00:09-00:10,10.6,9.0,10.0
51345342-a67e-433d-bf61-6b8ab1c4f718,en,airline,OpenAI minimal,480,0,2,0.00-0.60,0.6,0.0,0.6
51345342-a67e-433d-bf61-6b8ab1c4f718,en,airline,OpenAI minimal,631,0,1,0:13-0:19,19.2,13.0,19.0
51345342-a67e-433d-bf61-6b8ab1c4f718,en,airline,OpenAI minimal,640,0,2,0:06-0:10,10.8,6.0,10.0
520ecf94-5c88-4c78-beac-f54a9f89c3f5,en,airline,OpenAI minimal,66,0,1,0:14-0:16,16.6,14.0,16.0
520ecf94-5c88-4c78-beac-f54a9f89c3f5,en,airline,OpenAI minimal,214,0,2,00:10-00:11,11.2,10.0,11.0
54fc12ba-640f-4b89-b442-c760d602ab84,en,airline,OpenAI minimal,54,0,1,0:02-0:03,2.8,2.0,3.0
54fc12ba-640f-4b89-b442-c760d602ab84,en,airline,OpenAI minimal,121,0,1,00:02-00:03,3.2,2.0,3.0
54fc12ba-640f-4b89-b442-c760d602ab84,en,airline,OpenAI minimal,288,1,1,00:21-00:24,25.0,21.0,24.0
54fc12ba-640f-4b89-b442-c760d602ab84,en,airline,OpenAI minimal,421,0,1,00:01 - 00:02,2.2,1.0,2.0
54fc12ba-640f-4b89-b442-c760d602ab84,en,airline,OpenAI minimal,451,0,1,0:03-0:04,4.0,3.0,4.0
561fd274-ea7a-4187-9125-d0303fe7bfd7,en,airline,OpenAI minimal,73,0,2,0:09-0:10,10.8,9.0,10.0
561fd274-ea7a-4187-9125-d0303fe7bfd7,en,airline,OpenAI minimal,278,0,2,00:01-00:02,3.0,1.0,2.0
70f50918-e6f1-4862-bb6b-4e8063d6a4b7,en,airline,OpenAI minimal,434,0,1,0:22-0:23,23.4,22.0,23.0
70f50918-e6f1-4862-bb6b-4e8063d6a4b7,en,airline,OpenAI minimal,572,0,2,0:16-0:17,17.6,16.0,17.0
70f50918-e6f1-4862-bb6b-4e8063d6a4b7,en,airline,OpenAI minimal,668,0,1,0:08-0:10,10.2,8.0,10.0
70f50918-e6f1-4862-bb6b-4e8063d6a4b7,en,airline,OpenAI minimal,762,0,2,00:05-00:08,8.4,5.0,8.0
70f50918-e6f1-4862-bb6b-4e8063d6a4b7,en,airline,OpenAI minimal,898,0,1,0:04-0:05,5.8,4.0,5.0
7681903c-1390-4267-ba0d-5937aae3cf0b,en,airline,OpenAI minimal,280,0,1,00:02-00:03,3.4,2.0,3.0
7681903c-1390-4267-ba0d-5937aae3cf0b,en,airline,OpenAI minimal,364,0,2,00:02-00:03,3.8,2.0,3.0
7e84a60f-0639-4b8d-84cc-e683cc60d951,en,airline,OpenAI minimal,230,0,1,0:23-0:24,24.2,23.0,24.0
857b47e6-ecd8-462a-8a6e-27d20c3217d1,en,airline,OpenAI minimal,232,0,2,00:00-00:01,0.8,0.0,1.0
89df043b-e34e-4ce0-a4e8-615fd33ff6ec,en,airline,OpenAI minimal,650,0,2,00:07-00:08,8.8,7.0,8.0
89df043b-e34e-4ce0-a4e8-615fd33ff6ec,en,airline,OpenAI minimal,694,0,2,0.00-0.70,0.4,0.0,0.7
8bfffe7b-1cca-429c-8099-fdbc4778c114,en,airline,OpenAI minimal,169,0,2,0:10-0:11,12.0,10.0,11.0
8bfffe7b-1cca-429c-8099-fdbc4778c114,en,airline,OpenAI minimal,174,0,2,0:01-0:03,3.6,1.0,3.0
8bfffe7b-1cca-429c-8099-fdbc4778c114,en,airline,OpenAI minimal,174,1,2,0:02-0:03,3.6,2.0,3.0
8bfffe7b-1cca-429c-8099-fdbc4778c114,en,airline,OpenAI minimal,259,0,1,0:07-0:08,8.2,7.0,8.0
8f338d19-b7ff-481a-8279-199ca75ab587,en,airline,OpenAI minimal,102,0,2,00:01-00:01,2.0,1.0,1.0
8f338d19-b7ff-481a-8279-199ca75ab587,en,airline,OpenAI minimal,154,0,1,0:00-0:00,0.6,0.0,0.0
adafa071-b90c-4227-849d-4abc01963f5f,en,airline,OpenAI minimal,143,0,2,00:01-00:02,1.0,1.0,2.0
bd3d9b32-ab48-4e4b-b604-1ca57eca7c59,en,airline,OpenAI minimal,71,0,1,0:05-0:06,6.2,5.0,6.0
bd3d9b32-ab48-4e4b-b604-1ca57eca7c59,en,airline,OpenAI minimal,457,0,1,0.00-0.01,0.4,0.0,0.01
bd3d9b32-ab48-4e4b-b604-1ca57eca7c59,en,airline,OpenAI minimal,565,0,2,0:02-0:03,3.4,2.0,3.0
c742f985-f601-44c1-bbd9-026b1f644ace,en,airline,OpenAI minimal,109,0,3,0.0-0.6,0.6,0.0,0.6
c742f985-f601-44c1-bbd9-026b1f644ace,en,airline,OpenAI minimal,184,1,1,00:02-00:03,3.2,2.0,3.0
c742f985-f601-44c1-bbd9-026b1f644ace,en,airline,OpenAI minimal,296,1,2,0:19-0:20,20.6,19.0,20.0
d55f4201-a3fa-43ff-b4d2-e061f445997b,en,airline,OpenAI minimal,275,0,2,0:45-0:48,48.4,45.0,48.0
d55f4201-a3fa-43ff-b4d2-e061f445997b,en,airline,OpenAI minimal,363,0,1,0:05-0:06,6.8,5.0,6.0
d5c6548a-12d1-4ab5-b4ff-3a8d769ff454,en,airline,OpenAI minimal,215,0,2,0:02-0:03,3.0,2.0,3.0
dc359a39-3ad7-4a28-b1b2-f5c466768d34,en,airline,OpenAI minimal,40,0,1,0:03-0:04,4.4,3.0,4.0
dc359a39-3ad7-4a28-b1b2-f5c466768d34,en,airline,OpenAI minimal,51,0,2,0:01-0:02,2.8,1.0,2.0
e4254b72-6bac-4922-b8e6-1b45ac8451a4,en,airline,OpenAI minimal,259,0,1,0:15-0:17,17.4,15.0,17.0
e5f34096-099d-4359-bebc-488d866698f2,en,airline,OpenAI minimal,511,0,2,0:19-0:20,21.0,19.0,20.0
e5f34096-099d-4359-bebc-488d866698f2,en,airline,OpenAI minimal,680,0,2,0:01-0:02,2.2,1.0,2.0
e8c50014-33fb-465f-af3c-d1d359368c09,en,airline,OpenAI minimal,170,0,1,00:02-00:03,3.2,2.0,3.0
e8c50014-33fb-465f-af3c-d1d359368c09,en,airline,OpenAI minimal,351,0,1,0.00-0.90,1.0,0.0,0.9
fa7a571f-538d-4cb5-a4a0-7d8b515f48c3,en,airline,OpenAI minimal,218,0,2,0:07-0:09,10.0,7.0,9.0
fb11ff96-a986-43ee-8757-67e4c1b5cce6,en,airline,OpenAI minimal,240,0,2,0:12-0:13,14.0,12.0,13.0
00c6aed2-928c-4fe7-8d42-5d6271c1b196,en,airline,OpenAI xhigh,138,0,2,0:10-0:11,11.6,10.0,11.0
00c6aed2-928c-4fe7-8d42-5d6271c1b196,en,airline,OpenAI xhigh,269,0,2,0:02-0:03,3.2,2.0,3.0
01637640-736d-439f-8cfe-0aea2e0d73bb,en,airline,OpenAI xhigh,986,0,1,00:00-00:03,4.0,0.0,3.0
046b4a7f-a67d-4034-9d43-e700bac6223d,en,airline,OpenAI xhigh,871,0,2,0:08-0:10,10.8,8.0,10.0
046b4a7f-a67d-4034-9d43-e700bac6223d,en,airline,OpenAI xhigh,1151,0,2,00:03-00:05,5.6,3.0,5.0
046b4a7f-a67d-4034-9d43-e700bac6223d,en,airline,OpenAI xhigh,1214,0,1,0:17-0:19,19.2,17.0,19.0
049a912d-033d-4e2b-9fb9-b6efa8417878,en,airline,OpenAI xhigh,68,0,2,0:01-0:02,1.4,1.0,2.0
049a912d-033d-4e2b-9fb9-b6efa8417878,en,airline,OpenAI xhigh,344,0,1,0:00-0:01,1.0,0.0,1.0
07cb379d-79c5-45e0-858a-fe26af3092a7,en,airline,OpenAI xhigh,428,0,3,0.00-0.02,0.6,0.0,0.02
07cb379d-79c5-45e0-858a-fe26af3092a7,en,airline,OpenAI xhigh,454,1,2,0:19-0:21,21.4,19.0,21.0
07cb379d-79c5-45e0-858a-fe26af3092a7,en,airline,OpenAI xhigh,581,0,2,00:01 - 00:02,2.2,1.0,2.0
07cb379d-79c5-45e0-858a-fe26af3092a7,en,airline,OpenAI xhigh,679,0,1,00:05 - 00:06,6.6,5.0,6.0
07cb379d-79c5-45e0-858a-fe26af3092a7,en,airline,OpenAI xhigh,898,0,1,00:12-00:13,13.2,12.0,13.0
07cb379d-79c5-45e0-858a-fe26af3092a7,en,airline,OpenAI xhigh,1157,0,2,00:01-00:02,2.0,1.0,2.0
102a420a-6822-4b9f-a1a5-aa49efe60ced,en,airline,OpenAI xhigh,180,0,3,0:08-0:09,9.8,8.0,9.0
102a420a-6822-4b9f-a1a5-aa49efe60ced,en,airline,OpenAI xhigh,289,0,2,0:13-0:15,16.0,13.0,15.0
102a420a-6822-4b9f-a1a5-aa49efe60ced,en,airline,OpenAI xhigh,342,0,1,00:06-00:08,9.0,6.0,8.0
102a420a-6822-4b9f-a1a5-aa49efe60ced,en,airline,OpenAI xhigh,436,0,2,00:08-00:10,11.0,8.0,10.0
102a420a-6822-4b9f-a1a5-aa49efe60ced,en,airline,OpenAI xhigh,570,0,1,0:18-0:19,19.4,18.0,19.0
1c962c07-7509-4ffc-a791-89b543f42313,en,airline,OpenAI xhigh,326,0,1,0.0-0.8,1.0,0.0,0.8
20cfea9f-1d81-4ffa-b9e3-1b1d01bb858e,en,airline,OpenAI xhigh,106,0,1,00:14-00:16,16.2,14.0,16.0
2277805f-4766-4abe-9baa-1d434dff92dc,en,airline,OpenAI xhigh,335,0,2,00:01-00:02,2.2,1.0,2.0
2277805f-4766-4abe-9baa-1d434dff92dc,en,airline,OpenAI xhigh,601,0,1,0:05-0:06,7.0,5.0,6.0
28f43fe9-8ed2-4f3f-8325-a303dc69e45b,en,airline,OpenAI xhigh,51,0,1,0:09-0:10,10.2,9.0,10.0
28f43fe9-8ed2-4f3f-8325-a303dc69e45b,en,airline,OpenAI xhigh,250,0,3,00:11-00:12,12.8,11.0,12.0
2975803a-4e16-4d02-98e6-d1dfd5be81d7,en,airline,OpenAI xhigh,749,0,1,00:10 - 00:14,14.4,10.0,14.0
2975803a-4e16-4d02-98e6-d1dfd5be81d7,en,airline,OpenAI xhigh,832,0,2,0:06-0:08,8.2,6.0,8.0
34552091-0096-49ba-8f42-4fa7062daed9,en,airline,OpenAI xhigh,289,0,1,0:01-0:02,2.8,1.0,2.0
35a88223-bda0-4ec8-b5ea-bedc25f17072,en,airline,OpenAI xhigh,70,0,2,0:14-0:15,15.8,14.0,15.0
35a88223-bda0-4ec8-b5ea-bedc25f17072,en,airline,OpenAI xhigh,428,0,2,00:04-00:05,5.2,4.0,5.0
3d100d36-f3c9-4bc8-a853-c7fd41f5dc2f,en,airline,OpenAI xhigh,122,0,2,00:00-00:01,1.2,0.0,1.0
3d100d36-f3c9-4bc8-a853-c7fd41f5dc2f,en,airline,OpenAI xhigh,257,0,2,00:10-00:11,12.0,10.0,11.0
4d44ecce-7468-4f15-8329-6ae531efe1f7,en,airline,OpenAI xhigh,220,0,2,00:02 - 00:04,4.8,2.0,4.0
50fd5cf5-0ce7-4587-b10e-7fae56e5bde2,en,airline,OpenAI xhigh,579,0,1,0:01-0:02,1.8,1.0,2.0
5624e2d2-dc5c-4324-a71a-345ec8af8e89,en,airline,OpenAI xhigh,213,0,1,00:04-00:05,5.6,4.0,5.0
5624e2d2-dc5c-4324-a71a-345ec8af8e89,en,airline,OpenAI xhigh,272,0,1,0:07-0:09,9.6,7.0,9.0
5624e2d2-dc5c-4324-a71a-345ec8af8e89,en,airline,OpenAI xhigh,433,0,1,0:04-0:06,6.2,4.0,6.0
5624e2d2-dc5c-4324-a71a-345ec8af8e89,en,airline,OpenAI xhigh,629,0,2,0:00-0:01,0.8,0.0,1.0
5624e2d2-dc5c-4324-a71a-345ec8af8e89,en,airline,OpenAI xhigh,629,1,2,0:00-0:01,0.8,0.0,1.0
5bfd6a20-092a-4865-b86d-106510e6b5dd,en,airline,OpenAI xhigh,572,0,1,0:01-0:02,2.8,1.0,2.0
5bfd6a20-092a-4865-b86d-106510e6b5dd,en,airline,OpenAI xhigh,625,0,2,0:01-0:01,1.4,1.0,1.0
5e8ca01f-9b91-48df-8e1c-2b33db0f2686,en,airline,OpenAI xhigh,421,0,1,00:01-00:02,2.0,1.0,2.0
680f44fa-265e-4a5e-9ee5-e026959bb610,en,airline,OpenAI xhigh,248,0,2,0:01-0:02,2.4,1.0,2.0
680f44fa-265e-4a5e-9ee5-e026959bb610,en,airline,OpenAI xhigh,496,0,1,0:04-0:05,5.4,4.0,5.0
6911d3f2-66a9-445a-b83a-771b8e383489,en,airline,OpenAI xhigh,98,0,2,0:01-0:02,2.0,1.0,2.0
6911d3f2-66a9-445a-b83a-771b8e383489,en,airline,OpenAI xhigh,265,0,2,0:08-0:10,10.4,8.0,10.0
7d4baa7c-8bc6-48bf-90d0-09dbd295b171,en,airline,OpenAI xhigh,72,0,2,00:12-00:13,13.6,12.0,13.0
7d4baa7c-8bc6-48bf-90d0-09dbd295b171,en,airline,OpenAI xhigh,394,0,3,00:00-00:08,8.8,0.0,8.0
85210661-3545-4c43-8f45-a39b7f050dcd,en,airline,OpenAI xhigh,277,0,1,0:29-0:30,30.2,29.0,30.0
893472a0-3293-47d2-b713-a9c925465afd,en,airline,OpenAI xhigh,259,0,2,0:18-0:21,21.2,18.0,21.0
893472a0-3293-47d2-b713-a9c925465afd,en,airline,OpenAI xhigh,846,0,2,0:05-0:06,6.4,5.0,6.0
893472a0-3293-47d2-b713-a9c925465afd,en,airline,OpenAI xhigh,882,0,1,0:03-0:04,4.8,3.0,4.0
893472a0-3293-47d2-b713-a9c925465afd,en,airline,OpenAI xhigh,957,0,2,0:04-0:05,5.8,4.0,5.0
893472a0-3293-47d2-b713-a9c925465afd,en,airline,OpenAI xhigh,1198,0,2,00:01-00:02,2.0,1.0,2.0
902ccff0-d46d-45b8-87ff-16a82550cd39,en,airline,OpenAI xhigh,156,0,1,0:07-0:09,9.8,7.0,9.0
902ccff0-d46d-45b8-87ff-16a82550cd39,en,airline,OpenAI xhigh,248,0,2,00:03-00:04,4.2,3.0,4.0
921a86e5-d3b5-4182-9a5d-8d4a14bd985f,en,airline,OpenAI xhigh,471,0,2,0:01-0:02,2.0,1.0,2.0
95efdae2-fcdd-44f7-b3c1-c074c929a9b7,en,airline,OpenAI xhigh,165,0,2,0:01-0:01,1.8,1.0,1.0
95ff7a9e-132f-4274-bb37-c554b72eac15,en,airline,OpenAI xhigh,460,0,3,0:10-0:12,12.2,10.0,12.0
95ff7a9e-132f-4274-bb37-c554b72eac15,en,airline,OpenAI xhigh,483,0,2,0:20-0:22,22.4,20.0,22.0
95ff7a9e-132f-4274-bb37-c554b72eac15,en,airline,OpenAI xhigh,559,0,2,0.00-0.80,0.4,0.0,0.8
